name,price,pioneer,modern,legacy,cEDH,edhPopularity,uuid,colorIdentity,flavorText,isPromo,keywords,manaValue,printings,rarity,subtypes,Legendary,text,types,variations
Abrupt Decay,0.97,0.023,0,0.015,0.157,22748,67e76b9c-0dfd-5293-8303-5d876b39fc25,"Black, Green","Local Purveyor Honest Rutstein Clarifies, Strengthens ""No Refunds"" Policy",FALSE,,2,"GK1, MB2, MM3, OTP, PLST, PRM, RTR, TSR, WMC",rare,,FALSE,This spell can't be countered.\nDestroy target nonland permanent with mana value 3 or less.,Instant,
Abrupt Decay,1.36,0.023,0,0.015,0.157,22748,62f644b3-742d-5aaf-a3a0-3e574fe96beb,"Black, Green",The Izzet quickly suspended their policy of lifetime guarantees.,FALSE,,2,"GK1, MB2, MM3, OTP, PLST, PRM, RTR, TSR, WMC",rare,,FALSE,This spell can't be countered.\nDestroy target nonland permanent with mana value 3 or less.,Instant,
Abrupt Decay,2.34,0.023,0,0.015,0.157,22748,3eb3be5c-5b82-5ad5-8987-d7e256b4e922,"Black, Green",The Izzet quickly suspended their policy of lifetime guarantees.,FALSE,,2,"GK1, MB2, MM3, OTP, PLST, PRM, RTR, TSR, WMC",rare,,FALSE,This spell can't be countered.\nDestroy target nonland permanent with mana value 3 or less.,Instant,
Abrupt Decay,2.76,0.023,0,0.015,0.157,22748,b11a2ad4-06b7-508a-925e-37507ba371c4,"Black, Green",The Izzet quickly suspended their policy of lifetime guarantees.,FALSE,,2,"GK1, MB2, MM3, OTP, PLST, PRM, RTR, TSR, WMC",rare,,FALSE,This spell can't be countered.\nDestroy target nonland permanent with mana value 3 or less.,Instant,
Abrupt Decay,2.98,0.023,0,0.015,0.157,22748,0c425aeb-8d8c-5fe7-9f2a-c36100fe1706,"Black, Green",The Izzet quickly suspended their policy of lifetime guarantees.,FALSE,,2,"GK1, MB2, MM3, OTP, PLST, PRM, RTR, TSR, WMC",special,,FALSE,This spell can't be countered.\nDestroy target nonland permanent with mana value 3 or less.,Instant,
Abrupt Decay,24.68,0.023,0,0.015,0.157,22748,82562e12-64f7-555b-8c80-6b497372c400,"Black, Green","The worst part isn't the pain, or the smell, or even the fear of death. It's hearing the clatter of bone on stone and knowing the bones are yours.",TRUE,,2,"GK1, MB2, MM3, OTP, PLST, PRM, RTR, TSR, WMC",rare,,FALSE,This spell can't be countered.\nDestroy target nonland permanent with mana value 3 or less.,Instant,
Abrupt Decay,1.53,0.023,0,0.015,0.157,22749,8d44af23-f830-5ca9-8bef-1ef086672984,"Black, Green",The Izzet quickly suspended their policy of lifetime guarantees.,FALSE,,2,"GK1, MB2, MM3, OTP, PLST, PRM, RTR, TSR, WMC",rare,,FALSE,This spell can't be countered.\nDestroy target nonland permanent with mana value 3 or less.,Instant,
Ad Nauseam,15.89,0,0,0,0.301,22440,6deaff86-d4d7-5002-8c5e-5fc6d8365902,Black,"When the task spilled over into undeath, he stopped calling it his life's work.",FALSE,,5,"2XM, ALA",rare,,FALSE,Reveal the top card of your library and put that card into your hand. You lose life equal to its mana value. You may repeat this process any number of times.,Instant,
Ad Nauseam,18.39,0,0,0,0.301,22440,c19def09-b6ae-5761-a786-e7b694d4eac5,Black,"When the task spilled over into undeath, he stopped calling it his life's work.",FALSE,,5,"2XM, ALA",rare,,FALSE,Reveal the top card of your library and put that card into your hand. You lose life equal to its mana value. You may repeat this process any number of times.,Instant,
Aether Spellbomb,0.2,0,0,0.012,0,20974,dc2ef50f-2062-5728-a16f-755fbb6db04f,Blue,"""Release that which was never caged.""\n—Spellbomb inscription",FALSE,,1,"ARC, DDF, J22, JMP, MMA, MRD, PLST",common,,FALSE,"{U}, Sacrifice Aether Spellbomb: Return target creature to its owner's hand.\n{1}, Sacrifice Aether Spellbomb: Draw a card.",Artifact,
Aether Spellbomb,0.25,0,0,0.012,0,20974,44829535-d2be-519b-9484-3e1008ee49f7,Blue,"""Release that which was never caged.""\n—Spellbomb inscription",FALSE,,1,"ARC, DDF, J22, JMP, MMA, MRD, PLST",common,,FALSE,"{U}, Sacrifice Aether Spellbomb: Return target creature to its owner's hand.\n{1}, Sacrifice Aether Spellbomb: Draw a card.",Artifact,
Aether Spellbomb,0.26,0,0,0.012,0,20974,4e9211e8-1b47-56b9-a12b-f06b690ef481,Blue,"""Release that which was never caged.""\n—Spellbomb inscription",FALSE,,1,"ARC, DDF, J22, JMP, MMA, MRD, PLST",common,,FALSE,"{U}, Sacrifice Aether Spellbomb: Return target creature to its owner's hand.\n{1}, Sacrifice Aether Spellbomb: Draw a card.",Artifact,
Aether Spellbomb,0.15,0,0,0.012,0,20976,6fb877a3-c4bd-50fa-9ac2-252099306414,Blue,"""Release that which was never caged.""\n—Spellbomb inscription",FALSE,,1,"ARC, DDF, J22, JMP, MMA, MRD, PLST",common,,FALSE,"{U}, Sacrifice Aether Spellbomb: Return target creature to its owner's hand.\n{1}, Sacrifice Aether Spellbomb: Draw a card.",Artifact,
Aether Spellbomb,0.22,0,0,0.012,0,20976,cf1cf1ac-4c9b-520e-865a-e2a45ad4af42,Blue,"""Release that which was never caged.""\n—Spellbomb inscription",FALSE,,1,"ARC, DDF, J22, JMP, MMA, MRD, PLST",common,,FALSE,"{U}, Sacrifice Aether Spellbomb: Return target creature to its owner's hand.\n{1}, Sacrifice Aether Spellbomb: Draw a card.",Artifact,
Aether Spellbomb,0.24,0,0,0.012,0,20976,69fbf84e-9713-5c2c-b7af-ac19fbe07a24,Blue,"""Release that which was never caged.""\n—Spellbomb inscription",FALSE,,1,"ARC, DDF, J22, JMP, MMA, MRD, PLST",common,,FALSE,"{U}, Sacrifice Aether Spellbomb: Return target creature to its owner's hand.\n{1}, Sacrifice Aether Spellbomb: Draw a card.",Artifact,
Aether Spellbomb,0.25,0,0,0.012,0,20976,c18855f3-26f3-5173-afe3-67c0ed996650,Blue,"""Release that which was never caged.""\n—Spellbomb inscription",FALSE,,1,"ARC, DDF, J22, JMP, MMA, MRD, PLST",common,,FALSE,"{U}, Sacrifice Aether Spellbomb: Return target creature to its owner's hand.\n{1}, Sacrifice Aether Spellbomb: Draw a card.",Artifact,
Aether Vial,6.1,0,0.013,0.035,0,18133,9eb3f203-aebf-5196-b6a7-03d335d64b22,Colorless,,FALSE,,1,"2X2, DST, IMA, MB2, MMA, MPS, PLST, PPRO, PRM, SLD, TD0, V10",rare,,FALSE,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.\n{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",Artifact,
Aether Vial,6.14,0,0.013,0.035,0,18133,5a5eab65-68bb-5047-a177-373eb04b9c68,Colorless,,FALSE,,1,"2X2, DST, IMA, MB2, MMA, MPS, PLST, PPRO, PRM, SLD, TD0, V10",uncommon,,FALSE,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.\n{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",Artifact,
Aether Vial,7.44,0,0.013,0.035,0,18133,2ee83fa5-9d55-565a-99f6-21fdf160103d,Colorless,,FALSE,,1,"2X2, DST, IMA, MB2, MMA, MPS, PLST, PPRO, PRM, SLD, TD0, V10",mythic,,FALSE,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.\n{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",Artifact,
Aether Vial,13.71,0,0.013,0.035,0,18133,0167f5e6-af71-5d5b-9a8c-c9f92812ab01,Colorless,,FALSE,,1,"2X2, DST, IMA, MB2, MMA, MPS, PLST, PPRO, PRM, SLD, TD0, V10",rare,,FALSE,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.\n{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",Artifact,2313830e-9020-5c9f-9d8a-5d36f81401e6
Aether Vial,19.71,0,0.013,0.035,0,18133,2313830e-9020-5c9f-9d8a-5d36f81401e6,Colorless,,FALSE,,1,"2X2, DST, IMA, MB2, MMA, MPS, PLST, PPRO, PRM, SLD, TD0, V10",rare,,FALSE,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.\n{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",Artifact,0167f5e6-af71-5d5b-9a8c-c9f92812ab01
Aether Vial,91.7,0,0.013,0.035,0,18133,fd7cceaa-8f7d-541f-b94e-3399374dedd1,Colorless,,FALSE,,1,"2X2, DST, IMA, MB2, MMA, MPS, PLST, PPRO, PRM, SLD, TD0, V10",special,,FALSE,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.\n{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",Artifact,
Aether Vial,5.52,0,0.013,0.035,0,18135,22b2e747-6d2b-503a-bc8e-0d28b82340e6,Colorless,,FALSE,,1,"2X2, DST, IMA, MB2, MMA, MPS, PLST, PPRO, PRM, SLD, TD0, V10",rare,,FALSE,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.\n{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",Artifact,"5e506e06-9d1a-572f-b440-516be17b177b, 29e82994-8a43-5d5b-8277-743cc9d66a1f"
Aether Vial,5.68,0,0.013,0.035,0,18135,effa7a1c-5b96-50e5-8308-bc8a1b5d5893,Colorless,,FALSE,,1,"2X2, DST, IMA, MB2, MMA, MPS, PLST, PPRO, PRM, SLD, TD0, V10",rare,,FALSE,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.\n{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",Artifact,
Aether Vial,6.18,0,0.013,0.035,0,18135,5e506e06-9d1a-572f-b440-516be17b177b,Colorless,,FALSE,,1,"2X2, DST, IMA, MB2, MMA, MPS, PLST, PPRO, PRM, SLD, TD0, V10",rare,,FALSE,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.\n{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",Artifact,"22b2e747-6d2b-503a-bc8e-0d28b82340e6, 29e82994-8a43-5d5b-8277-743cc9d66a1f"
Aether Vial,7.05,0,0.013,0.035,0,18135,d3261c53-4524-5e3a-8fba-ccce7588f206,Colorless,,FALSE,,1,"2X2, DST, IMA, MB2, MMA, MPS, PLST, PPRO, PRM, SLD, TD0, V10",uncommon,,FALSE,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.\n{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",Artifact,
Aether Vial,7.87,0,0.013,0.035,0,18135,29e82994-8a43-5d5b-8277-743cc9d66a1f,Colorless,,FALSE,,1,"2X2, DST, IMA, MB2, MMA, MPS, PLST, PPRO, PRM, SLD, TD0, V10",rare,,FALSE,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.\n{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",Artifact,"22b2e747-6d2b-503a-bc8e-0d28b82340e6, 5e506e06-9d1a-572f-b440-516be17b177b"
Aetherflux Reservoir,11.61,0.044,0,0,0,23096,09425292-e65b-5127-8caa-511d1aa96e05,Colorless,"While most power is used for ordinary, everyday tasks, one shouldn't underestimate its potential for the extraordinary.",FALSE,,4,"BRR, KLD, KLR, PKLD, PLST",mythic,,FALSE,"Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.\nPay 50 life: Aetherflux Reservoir deals 50 damage to any target.",Artifact,"f7101c1c-6859-5ea6-8866-3b8a4d0327d7, fdf7c17e-56ed-5a4d-8d28-a15a25183b90"
Aetherflux Reservoir,12.05,0.044,0,0,0,23096,06f7685e-9bc5-5250-bd16-5e69dbb76e07,Colorless,"While most power is used for ordinary, everyday tasks, one shouldn't underestimate its potential for the extraordinary.",FALSE,,4,"BRR, KLD, KLR, PKLD, PLST",rare,,FALSE,"Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.\nPay 50 life: Aetherflux Reservoir deals 50 damage to any target.",Artifact,
Aetherflux Reservoir,12.32,0.044,0,0,0,23096,41e9b210-f525-526b-abe6-723471722d9c,Colorless,"While most power is used for ordinary, everyday tasks, one shouldn't underestimate its potential for the extraordinary.",FALSE,,4,"BRR, KLD, KLR, PKLD, PLST",rare,,FALSE,"Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.\nPay 50 life: Aetherflux Reservoir deals 50 damage to any target.",Artifact,
Aetherflux Reservoir,14.14,0.044,0,0,0,23096,f7101c1c-6859-5ea6-8866-3b8a4d0327d7,Colorless,"""These estimates are conservative. Its true capacity may be far, far greater.""\n—Research notes, signature illegible",FALSE,,4,"BRR, KLD, KLR, PKLD, PLST",mythic,,FALSE,"Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.\nPay 50 life: Aetherflux Reservoir deals 50 damage to any target.",Artifact,"09425292-e65b-5127-8caa-511d1aa96e05, fdf7c17e-56ed-5a4d-8d28-a15a25183b90"
Aetherflux Reservoir,19.82,0.044,0,0,0,23096,f1928a50-1a14-5d48-95f6-f3d94303a506,Colorless,"While most power is used for ordinary, everyday tasks, one shouldn't underestimate its potential for the extraordinary.",TRUE,,4,"BRR, KLD, KLR, PKLD, PLST",rare,,FALSE,"Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.\nPay 50 life: Aetherflux Reservoir deals 50 damage to any target.",Artifact,
